,Training_Set,precision,recall,f1_macro,accuracy
0,dt,0.716611744952396,0.7317715487210112,0.7230835452521773,0.7770938667839086
1,knn,0.8275026414339391,0.8649752413655818,0.8423462773597299,0.8700813365574852
2,lr,0.7171534844666319,0.7684750423011844,0.7245083127506036,0.755550670477028
3,rf,0.8137546630903164,0.8464857668955907,0.8270064514143427,0.8582105957353264
4,xgb,0.7581889897409668,0.7740764656116255,0.7652082597714323,0.81182677511541
